                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8321,                 2.5889,                  1.872,                0.38038,                  0.214,                0.19488,                0.10935,                 2.1631,                 2.5199,                  2.188,               0.008911,               0.008911,               0.008911
                     35,                 1.9459,                 2.5615,                 1.9562,                0.38038,                  0.214,                0.19488,                0.10935,                 2.1631,                 2.5199,                  2.188,               0.008878,               0.008878,               0.008878
                     36,                 1.8057,                 2.4467,                 1.8273,                0.16056,                0.25558,                0.13223,                0.07419,                 2.1759,                 2.6293,                 2.2122,               0.008845,               0.008845,               0.008845
                     37,                 1.7987,                 2.4287,                 1.8678,                0.16056,                0.25558,                0.13223,                0.07419,                 2.1759,                 2.6293,                 2.2122,               0.008812,               0.008812,               0.008812
                     38,                 1.8519,                 2.5122,                 1.9519,                0.16056,                0.25558,                0.13223,                0.07419,                 2.1759,                 2.6293,                 2.2122,               0.008779,               0.008779,               0.008779
                     39,                  1.814,                  2.627,                 1.8921,                0.16434,                0.28499,                0.13265,                0.06186,                 2.1691,                 2.7772,                 2.1512,               0.008746,               0.008746,               0.008746
                     40,                  1.788,                 2.2847,                 1.8548,                0.16434,                0.28499,                0.13265,                0.06186,                 2.1691,                 2.7772,                 2.1512,               0.008713,               0.008713,               0.008713
                     41,                 1.6914,                 2.4535,                 1.8264,                0.16434,                0.28499,                0.13265,                0.06186,                 2.1691,                 2.7772,                 2.1512,                0.00868,                0.00868,                0.00868
                     42,                 1.7926,                 2.3513,                 1.8558,                0.16302,                 0.3073,                0.12379,                0.06158,                 1.9413,                 2.5965,                 2.0237,               0.008647,               0.008647,               0.008647
                     43,                 1.8435,                 2.3628,                 1.8536,                0.16302,                 0.3073,                0.12379,                0.06158,                 1.9413,                 2.5965,                 2.0237,               0.008614,               0.008614,               0.008614
                     44,                 1.8738,                 2.5213,                 1.8545,                0.16302,                 0.3073,                0.12379,                0.06158,                 1.9413,                 2.5965,                 2.0237,               0.008581,               0.008581,               0.008581
