                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6267,                 2.4712,                 1.7447,                0.16874,                0.20892,                0.08249,                0.03308,                 2.1672,                 2.8568,                 2.2628,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.6515,                 2.6218,                 1.7782,                0.16874,                0.20892,                0.08249,                0.03308,                 2.1672,                 2.8568,                 2.2628,               0.008317,               0.008317,               0.008317
                     36,                 1.6869,                 2.3921,                 1.7525,                0.22827,                0.11562,                0.08541,                0.03819,                 2.0683,                 3.0101,                 2.1652,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.547,                 2.3272,                 1.6969,                0.22827,                0.11562,                0.08541,                0.03819,                 2.0683,                 3.0101,                 2.1652,               0.008218,               0.008218,               0.008218
                     38,                 1.6315,                 2.3647,                 1.7811,                0.22827,                0.11562,                0.08541,                0.03819,                 2.0683,                 3.0101,                 2.1652,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.6819,                  2.849,                 1.7995,                0.28058,                0.31947,                0.20053,                0.07697,                 1.9882,                 2.6301,                 2.1075,               0.008119,               0.008119,               0.008119
                     40,                 1.5878,                   2.16,                 1.6952,                0.28058,                0.31947,                0.20053,                0.07697,                 1.9882,                 2.6301,                 2.1075,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.505,                 2.5035,                 1.7044,                0.28058,                0.31947,                0.20053,                0.07697,                 1.9882,                 2.6301,                 2.1075,                0.00802,                0.00802,                0.00802
                     42,                 1.6033,                 2.5022,                 1.7344,                0.18892,                0.21238,                0.12666,                0.06075,                 1.8082,                 2.6018,                  1.946,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5494,                 2.4264,                  1.664,                0.18892,                0.21238,                0.12666,                0.06075,                 1.8082,                 2.6018,                  1.946,               0.007921,               0.007921,               0.007921
                     44,                 1.5626,                 2.5205,                 1.6342,                0.18892,                0.21238,                0.12666,                0.06075,                 1.8082,                 2.6018,                  1.946,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5235,                 2.4695,                 1.6698,                0.30035,                0.30223,                0.19932,                0.08699,                 1.8457,                 2.5365,                  1.989,               0.007822,               0.007822,               0.007822
                     46,                 1.3175,                 1.8649,                 1.5096,                0.30035,                0.30223,                0.19932,                0.08699,                 1.8457,                 2.5365,                  1.989,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.352,                 1.9201,                 1.5407,                0.30035,                0.30223,                0.19932,                0.08699,                 1.8457,                 2.5365,                  1.989,               0.007723,               0.007723,               0.007723
