                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7534,                 3.0365,                 1.7808,                0.01687,                0.54057,                0.08196,                 0.0306,                 2.0672,                 3.1699,                 2.0316,               0.008911,               0.008911,               0.008911
                     35,                 1.7737,                  2.992,                 1.7585,                0.15458,                0.13286,                0.08148,                0.02505,                 2.2854,                 3.0905,                 2.2536,               0.008878,               0.008878,               0.008878
                     36,                 1.7457,                 3.0167,                 1.7425,                0.15458,                0.13286,                0.08148,                0.02505,                 2.2854,                 3.0905,                 2.2536,               0.008845,               0.008845,               0.008845
                     37,                 1.8158,                 3.0488,                  1.759,                0.15458,                0.13286,                0.08148,                0.02505,                 2.2854,                 3.0905,                 2.2536,               0.008812,               0.008812,               0.008812
                     38,                  1.697,                 2.9334,                 1.7118,                0.10903,                0.13286,                0.06562,                0.02657,                 2.3536,                 2.9644,                 2.3117,               0.008779,               0.008779,               0.008779
                     39,                 1.8078,                 2.8502,                 1.7047,                0.10903,                0.13286,                0.06562,                0.02657,                 2.3536,                 2.9644,                 2.3117,               0.008746,               0.008746,               0.008746
                     40,                 1.9705,                 3.0626,                 1.8382,                0.13762,                0.20892,                0.08994,                0.03626,                  2.238,                 2.9347,                  2.125,               0.008713,               0.008713,               0.008713
                     41,                 1.6704,                 2.7623,                 1.6521,                0.13762,                0.20892,                0.08994,                0.03626,                  2.238,                 2.9347,                  2.125,                0.00868,                0.00868,                0.00868
                     42,                 1.6859,                  2.884,                 1.7096,                0.13762,                0.20892,                0.08994,                0.03626,                  2.238,                 2.9347,                  2.125,               0.008647,               0.008647,               0.008647
                     43,                 1.7363,                 2.7271,                 1.6825,                0.07592,                0.11055,                0.06826,                0.02801,                 2.2501,                 2.9855,                   2.04,               0.008614,               0.008614,               0.008614
                     44,                 1.7709,                 2.8121,                 1.6836,                0.07592,                0.11055,                0.06826,                0.02801,                 2.2501,                 2.9855,                   2.04,               0.008581,               0.008581,               0.008581
                     45,                 1.9802,                 2.8772,                  1.914,                0.07592,                0.11055,                0.06826,                0.02801,                 2.2501,                 2.9855,                   2.04,               0.008548,               0.008548,               0.008548
                     46,                 1.6986,                 2.6682,                 1.7393,                0.11571,                0.18023,                0.07587,                 0.0291,                 2.3166,                 2.9833,                 2.2327,               0.008515,               0.008515,               0.008515
                     47,                 1.8922,                 2.7015,                 1.7544,                0.11571,                0.18023,                0.07587,                 0.0291,                 2.3166,                 2.9833,                 2.2327,               0.008482,               0.008482,               0.008482
                     48,                 1.8045,                 2.6964,                 1.7795,                0.18611,                0.13996,                0.07152,                 0.0257,                 2.3009,                 2.9926,                  2.202,               0.008449,               0.008449,               0.008449
                     49,                  1.799,                 2.6483,                 1.7381,                0.18611,                0.13996,                0.07152,                 0.0257,                 2.3009,                 2.9926,                  2.202,               0.008416,               0.008416,               0.008416
                     50,                 1.9016,                 2.6389,                 1.8306,                0.18611,                0.13996,                0.07152,                 0.0257,                 2.3009,                 2.9926,                  2.202,               0.008383,               0.008383,               0.008383
                     51,                 1.9513,                 2.6949,                 1.7757,                0.08477,                0.20385,                0.07666,                0.02269,                 2.3483,                 3.0008,                 2.2667,                0.00835,                0.00835,                0.00835
